nama kampung,jumlah suara,jumlah tps
2001-blang-rakal,809,4
2002-negeri-antara,762,4
2003-alur-cincin,332,2
2004-pantan-sinaku,308,2
2005-bintang-berangun,329,2
2006-taman-firdaus,202,1
2007-uning-mas,117,1
2008-perdamaian,507,2
2009-ulu-naron,171,1
2010-pantan-lah,110,1
2011-pancar-jelobok,464,2
2012-alur-gading,827,4
2013-rime-raya,955,5
2014-singah-mulo,693,3
2015-simpang-lancang,393,2
2016-wih-porak,175,2
2017-bener-meriah,250,1
2018-musara-58,220,1
2019-musara-pakat,284,2
2020-rata-ara,237,1
2021-gemasih,345,2
2022-pulo-intan,214,1
2023-blang-ara,222,1
2001-bener-pepanyi,930,4
2002-bintang-bener,529,2
2003-bintang-permata,397,2
2004-buntul-peteri,456,2
2005-darul-aman,481,2
2006-glp-wih-tenang-uken,1336,6
2007-pantan-tengah-jaya,359,2
2008-penosan-jaya,781,3
2009-ramung-jaya,698,3
2010-seni-antara,879,4
2011-temas-mumanang,424,2
2012-wih-tenang-toa,722,3
2013-wih-tenang-uken,1415,6
2014-ayu-ara,159,1
2015-ceding-ayu,168,1
2016-uning-sejuk,259,1
2017-suku-sara-tangke,246,1
2018-rikit-musara,240,1
2019-jungke,401,2
2020-burni-pase,483,2
2021-bale-musara,296,2
2022-pemango,475,2
2023-jelobok,773,4
2024-kepies,229,1
2025-timur-jaya,142,1
2026-bale-purnama,99,1
2027-tawar-bengi,231,1
2001-blang-panu,158,1
2003-gerpa,94,1
2004-goneng,71,1
2007-kerlang,85,1
2008-kutelah-lane,94,1
2009-pasir-putih,0,1
2010-payung,106,1
2012-rusip,225,1
2014-tembolon,200,1
2015-uning,59,1
2016-wihni-durin,0,1
2017-rata-mulie,95,1
2018-tempen-baru,79,1
2019-geruti-jaya,56,1
2001-bahgie-bertona,1024,4
2003-bathin-baru,0,2
2004-blang-pulo,421,2
2009-bukit-wih-ilang,273,1
2010-hakim-wih-ilang,724,3
2011-janarata,524,3
2012-keramat-jaya,451,2
2013-lewa-jadi,448,2
2014-muyang-kute-mangku,292,2
2016-pakat-jeroh,242,1
2017-paya-baning,259,1
2018-blang-jorong,673,4
2019-pondok-baru,751,4
2020-pondok-gajah,665,4
2021-pondok-ulung,595,3
2022-puja-mulia,897,4
2023-purwosari,1015,4
2024-selamat-rejo,412,2
2025-sidodadi,553,2
2026-simpang-utama,883,4
2027-suku-wih-ilang,208,1
2028-tanjung-pura,481,2
2029-wonosari,544,2
2030-mutiara,710,3
2032-tansaran-bidin,356,2
2033-jadi-sepakat,375,2
2034-selisih-mara,262,1
2035-kala-nempan,159,1
2036-gunung-antara,292,2
2037-gele-semayang,224,1
2042-tawar-sedenge,796,4
2043-beranun-teleden,270,1
2044-remang-ketike-jaya,257,1
2045-makmur-sentosa,401,3
2047-sinar-jaya-paya-ringkel,238,1
2001-bale-atu,1087,5
2002-bale-redelong,949,4
2003-batin-wih-pongas,401,2
2004-blang-ara,0,1
2005-blang-sentang,896,4
2006-blang-tampu,464,2
2007-bujang,375,2
2009-delung-tue,631,3
2010-hakim-tungul-naru,429,2
2011-isaq-busur,177,1
2012-kenawat-redelong,385,3
2013-kute-lintang,480,2
2014-panji-mulia-i,872,4
2015-panji-mulia-ii,305,2
2016-pasar-simpang-tiga,686,3
2017-reje-guru,693,3
2018-rembele,790,3
2019-sedie-jadi,373,2
2020-tingkem-asli,566,3
2021-tingkem-benyer,161,2
2022-tingkem-bersatu,791,3
2023-ujung-gele,394,2
2024-uning-bersah,370,2
2025-uning-teritit,695,3
2026-waq-pondok-sayur,508,2
2027-babussalam,275,1
2028-paya-gajah,361,2
2029-kute-tanyung,193,2
2030-meluem,158,1
2031-delung-asli,471,2
2032-pilar-jaya,170,1
2033-serule-kayu,435,2
2034-uring,0,1
2035-mupakat-jadi,343,2
2036-kute-kering,220,2
2037-blang-panas,420,2
2038-mutiara-baru,201,1
2039-bukit-bersatu,110,1
2040-godang,190,1
2041-karang-rejo,695,3
2001-blang-paku,680,3
2004-pante-raya,1653,7
2005-simpang-balek,1401,6
2006-simpang-teritit,629,4
2007-suka-jadi,412,3
2008-suka-makmur,847,4
2009-suka-ramai-atas,419,2
2010-suka-ramai-bawah,385,2
2011-syura-jadi,648,3
2012-jamur-uluh,211,1
2013-gegerung,400,2
2014-merie-satu,425,2
2015-blang-benara,205,3
2016-bukit-pepanyi,319,2
2017-wih-pesam,675,4
2018-cinta-damai,254,1
2019-bener-ayu,409,2
2020-bener-mulie,557,4
2021-blang-kucak,379,2
2022-wonosobo,518,2
2023-lut-kucak,739,3
2024-kebun-baru,988,4
2025-simpang-antara,259,1
2026-jamur-ujung,477,2
2027-suka-makmur-timur,361,2
2028-burni-telong,358,2
2001-bandar-lampahan,481,2
2002-blang-rongka,785,4
2003-cekal-baru,939,4
2004-gegur-sepakat,232,1
2005-karang-jadi,417,2
2006-lampahan,847,4
2010-setie,277,2
2011-simpang-layang,391,2
2012-suka-damai,583,3
2014-tunyang,387,2
2016-datu-beru,360,2
2017-kenine,313,2
2018-rembune,194,1
2019-damaran-baru,506,2
2020-fajar-harapan,420,2
2021-mude-benara,237,1
2022-kampung-baru-76,471,2
2023-pantan-pediangan,104,1
2024-bumi-ayu,684,3
2025-kulem-para-kanis,356,2
2026-mekar-ayu,855,4
2027-lampahan-barat,772,4
2028-lampahan-timur,472,2
2029-timang-rasa,138,1
2030-gunung-tunyang,318,2
2031-bukit-tunyang,191,1
2032-linung-bale,220,1
2033-pantan-kemuning,465,2
2034-sumber-jaya,900,4
2035-bukit-mulie,680,3
2001-bandar-jaya,256,1
2002-jongok-meluem,0,1
2003-suku-bener,177,1
2004-bener-lukup-ii,119,1
2005-gunung-musara,245,1
2006-bener-kelipah-selatan,298,2
2007-bintang-musara,292,2
2008-kala-tenang,222,1
2009-bener-kelipah-utara,639,3
2010-lot-bener-kelipah,552,3
2011-nosar-tawar-jaya,167,1
2012-nosar-baru,219,1
2001-cemparam-lama,254,1
2002-cemparam-pakat-jeroh,171,1
2003-cemparam-jaya,290,2
2004-pantan-kuli,97,1
2005-simpang-renggali,108,1
2006-jamur-atu-jaya,522,2
2007-sosial,250,1
2008-gunung-sayang,127,1
2009-amor,0,1
2010-buntul-gayo,328,2
2011-wih-resap,247,1
2012-wer-tingkem,248,1
2013-perumpaken-benjadi,85,1
2014-hakim-peteri-pintu,143,1
2015-simpur,235,1
2001-simpang-rahmat,500,3
2002-gajah-putih,607,3
2003-gayo-setie,98,1
2004-umah-besi,530,3
2005-pante-karya,255,2
2006-meriah-jaya,1120,5
2007-timang-gajah,738,3
2008-pantan-lues,312,2
2009-alam-jaya,244,1
2010-reronga,1009,5
